,name,zip,address,Phone,type,type2,latitude,longitude,Label,url_status,Website
16,Buffalo Creek Farm,27019,3241 Buffalo Creek Farm Rd Germanton NC 27019,(336) 969-5698,farm,Other,36.2562381,-80.2370532,"<B>Buffalo Creek Farm</B><br><B>Address: </B>3241 Buffalo Creek Farm Rd Germanton NC 27019<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.buffalocreekfarmandcreamery.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.buffalocreekfarmandcreamery.com
19,Changing Hearts Farm,28152,306 College Farm Rd Shelby NC 28152,(704) 000-1111,farm,Other,35.23634787,-81.67427981,"<B>Changing Hearts Farm</B><br><B>Address: </B>306 College Farm Rd Shelby NC 28152<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.changingheartsfarm.org"" target=""_blank"">Website</a><br>",Not Accessible,https://www.changingheartsfarm.org
21,Fieldstream Farm,27603,8008 Old Stage Rd Raleigh NC 27603,(919) 000-1111,farm,Other,35.66786413,-78.6598491,"<B>Fieldstream Farm</B><br><B>Address: </B>8008 Old Stage Rd Raleigh NC 27603<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.fieldstreamfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://fieldstreamfarm.com
22,Franny's Farm,28748,22 Frannys Farm Rd Leicester NC 28748,(828) 708-5587,farm,Other,35.656405,-82.7428948,"<B>Franny's Farm</B><br><B>Address: </B>22 Frannys Farm Rd Leicester NC 28748<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.frannysfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.frannysfarm.com
25,Happy's Farm,28146,985 Parks Rd Salisbury NC 28146,(704) 279-5268,farm,Other,35.56304215,-80.49505908,"<B>Happy's Farm</B><br><B>Address: </B>985 Parks Rd Salisbury NC 28146<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.happysfarm.org"" target=""_blank"">Website</a><br>",Not Accessible,https://www.happysfarm.org
26,Hidden River Farm,27501,703 Kirk Adams Rd Angier NC 27501,(919) 000-1111,farm,Other,35.47904524,-78.67668983,"<B>Hidden River Farm</B><br><B>Address: </B>703 Kirk Adams Rd Angier NC 27501<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.hiddenriverfarmnc.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.hiddenriverfarmnc.com
28,Hope Farms & Learning Ctr,27834,872 Briley Rd Greenville NC 27834,(252) 000-1111,farm,Other,35.67789269,-77.38218167,"<B>Hope Farms & Learning Ctr</B><br><B>Address: </B>872 Briley Rd Greenville NC 27834<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.hopefarmslc.com"" target=""_blank"">Website</a><br>",Not Accessible,https://hopefarmslc.com
30,Horseplay Farms,28422,1757 Clemmons Rd SE Bolivia NC 28422,(910) 253-7722,farm,Other,33.99745231,-78.19535388,"<B>Horseplay Farms</B><br><B>Address: </B>1757 Clemmons Rd SE Bolivia NC 28422<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.horseplayfarms.net"" target=""_blank"">Website</a><br>",Not Accessible,http://horseplayfarms.net
31,Howard Family Farm,28634,250 Crater Rd Harmony NC 28634,(704) 539-4994,farm,Other,36.0078242,-80.82019255,"<B>Howard Family Farm</B><br><B>Address: </B>250 Crater Rd Harmony NC 28634<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.howardfamilyfarms.com"" target=""_blank"">Website</a><br>",Not Accessible,https://howardfamilyfarms.com
32,Hunter Farm,28104,13624 Providence Rd Weddington NC 28104,(704) 846-7975,farm,Other,35.02598122,-80.76313704,"<B>Hunter Farm</B><br><B>Address: </B>13624 Providence Rd Weddington NC 28104<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.thehunterfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.thehunterfarm.com
34,Lavender Oaks Farm,27516,3829 Millard Whitley Rd Chapel Hill NC 27516,(919) 000-1111,farm,Other,35.888698,-79.149397,"<B>Lavender Oaks Farm</B><br><B>Address: </B>3829 Millard Whitley Rd Chapel Hill NC 27516<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.lavenderoaks.farm"" target=""_blank"">Website</a><br>",Not Accessible,https://lavenderoaks.farm
35,Maier Farm,28168,8801 Mull Rd Vale NC 28168,(828) 310-7344,farm,Other,35.58415377,-81.48265088,"<B>Maier Farm</B><br><B>Address: </B>8801 Mull Rd Vale NC 28168<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.maierfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.maierfarm.com
36,Pasture At Mercer Farm,28431,995 Elroy Mercer Rd Chadbourn NC 28431,(910) 000-1111,farm,Other,34.24944919,-78.83353846,"<B>Pasture At Mercer Farm</B><br><B>Address: </B>995 Elroy Mercer Rd Chadbourn NC 28431<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.thepastureatmercer.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.thepastureatmercer.com
37,Phillips Farms,27519,6701 Good Hope Church Rd Cary NC 27519,(919) 467-3004,farm,Other,35.82605936,-78.87093683,"<B>Phillips Farms</B><br><B>Address: </B>6701 Good Hope Church Rd Cary NC 27519<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.phillipsfarmsofcary.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.phillipsfarmsofcary.com
39,Rise Up Community Farm,28412,4702 College Rd S Wilmington NC 28412,(910) 000-1111,farm,Other,34.15605986,-77.89214975,"<B>Rise Up Community Farm</B><br><B>Address: </B>4702 College Rd S Wilmington NC 28412<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.riseupcommunityfarm.org"" target=""_blank"">Website</a><br>",Not Accessible,https://riseupcommunityfarm.org
40,Rudd Farm,27405,4021 Hicone Rd Greensboro NC 27405,(336) 621-1264,farm,Other,36.15130959,-79.73423356,"<B>Rudd Farm</B><br><B>Address: </B>4021 Hicone Rd Greensboro NC 27405<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.ruddfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://ruddfarm.com
41,Shelton Farms,28789,500 Thomas Cove Rd Whittier NC 28789,(828) 497-5323,farm,Other,35.41656349,-83.35631575,"<B>Shelton Farms</B><br><B>Address: </B>500 Thomas Cove Rd Whittier NC 28789<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.sheltonfarms.info"" target=""_blank"">Website</a><br>",Not Accessible,https://www.sheltonfarms.info
42,Shingleton Farms  Shop,27883,7009 Nc Highway 58 S Stantonsburg NC 27883,(252) 238-2155,farm,Other,35.614631,-77.820592,"<B>Shingleton Farms  Shop</B><br><B>Address: </B>7009 Nc Highway 58 S Stantonsburg NC 27883<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.shingletonfarms.com"" target=""_blank"">Website</a><br>",Not Accessible,https://shingletonfarms.com
44,Spring Lake Family Farms,28001,33463 Old Salisbury Rd Albemarle NC 28001,(704) 986-0426,farm,Other,35.3924548,-80.22261691,"<B>Spring Lake Family Farms</B><br><B>Address: </B>33463 Old Salisbury Rd Albemarle NC 28001<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.springlakefamilyfarms.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.springlakefamilyfarms.com
45,Stoney Mountain Farm,27217,6559 Old Stoney Mountain Rd Burlington NC 27217,(336) 421-8244,farm,Other,36.24399141,-79.40265976,"<B>Stoney Mountain Farm</B><br><B>Address: </B>6559 Old Stoney Mountain Rd Burlington NC 27217<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.stoneymountainfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.stoneymountainfarm.com
46,Street Fare Farm,28025,6601 US Highway 601 S Concord NC 28025,(704) 000-1111,farm,Other,35.32533604,-80.51523588,"<B>Street Fare Farm</B><br><B>Address: </B>6601 US Highway 601 S Concord NC 28025<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.streetfarefarm.com"" target=""_blank"">Website</a><br>",Not Accessible,http://www.streetfarefarm.com
47,Summerfield Farms,27358,3203 Pleasant Ridge Rd Summerfield NC 27358,(336) 643-2006,farm,Other,36.19183274,-79.90442829,"<B>Summerfield Farms</B><br><B>Address: </B>3203 Pleasant Ridge Rd Summerfield NC 27358<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.summerfieldfarms.com"" target=""_blank"">Website</a><br>",Not Accessible,https://summerfieldfarms.com
48,Sweet Berry Farms,28447,1824 Moores Swamp Rd Ivanhoe NC 28447,(910) 669-2463,farm,Other,34.55325448,-78.29809189,"<B>Sweet Berry Farms</B><br><B>Address: </B>1824 Moores Swamp Rd Ivanhoe NC 28447<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.sweetberryfarms.net"" target=""_blank"">Website</a><br>",Not Accessible,https://sweetberryfarms.net
51,Trail of Faith Farms Co,28585,190 Heritage Trl Trenton NC 28585,(252) 000-1111,farm,Other,35.06659,-77.501968,"<B>Trail of Faith Farms Co</B><br><B>Address: </B>190 Heritage Trl Trenton NC 28585<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.trailoffaithfarms.com"" target=""_blank"">Website</a><br>",Not Accessible,http://trailoffaithfarms.com
52,Transplanting Traditions Cmnty,27516,2912B Jones Ferry Rd Chapel Hill NC 27516,(984) 234-0144,farm,Other,35.88032476,-79.13668268,"<B>Transplanting Traditions Cmnty</B><br><B>Address: </B>2912B Jones Ferry Rd Chapel Hill NC 27516<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.transplantingtraditions.org"" target=""_blank"">Website</a><br>",Not Accessible,https://transplantingtraditions.org
54,Wellspring Farm,28714,166 Wellspring Ln Burnsville NC 28714,(828) 682-0458,farm,Other,35.98737834,-82.43546884,"<B>Wellspring Farm</B><br><B>Address: </B>166 Wellspring Ln Burnsville NC 28714<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.wellspringfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,http://wellspringfarm.com
56,Wood Farms of NC,27592,721 Honeycutt Rd Willow Spring NC 27592,(919) 639-2926,farm,Other,35.53880885,-78.61446275,"<B>Wood Farms of NC</B><br><B>Address: </B>721 Honeycutt Rd Willow Spring NC 27592<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.woodangus.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.woodangus.com
57,York Farm,27030,5722 W Pine St Mt Airy NC 27030,(336) 782-6725,farm,Other,36.47426199,-80.7792666,"<B>York Farm</B><br><B>Address: </B>5722 W Pine St Mt Airy NC 27030<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.yorkfarmnc.com"" target=""_blank"">Website</a><br>",Not Accessible,https://yorkfarmnc.com
58,Brackett Town Farms,28761,555 Brackett Town Rd Nebo NC 28761,(828) 000-1111,farm,Petting farm,35.56650677,-81.92650235,"<B>Brackett Town Farms</B><br><B>Address: </B>555 Brackett Town Rd Nebo NC 28761<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""www.bracketttownfarms.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.bracketttownfarms.com
59,Briles Farm Brahmans,27370,1782 Ross Wood Rd Trinity NC 27370,(336) 410-2126,farm,Petting farm,35.72425132,-80.02998665,"<B>Briles Farm Brahmans</B><br><B>Address: </B>1782 Ross Wood Rd Trinity NC 27370<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""www.brilesfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://brilesfarm.com
60,Changing Tomorrow Farm,27540,6312 Cass Holt Rd Holly Springs NC 27540,(919) 000-1111,farm,Petting farm,35.61143348,-78.87028002,"<B>Changing Tomorrow Farm</B><br><B>Address: </B>6312 Cass Holt Rd Holly Springs NC 27540<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""www.changingtomorrowfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.changingtomorrowfarm.com
61,Cherry Mountain Farm,28139,3946 US 64 Hwy Rutherfordton NC 28139,(828) 000-1111,farm,Petting farm,35.46715589,-81.88443816,"<B>Cherry Mountain Farm</B><br><B>Address: </B>3946 US 64 Hwy Rutherfordton NC 28139<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""www.cherrymountainfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.thegeneralstoreatcherrymountainfarm.com
63,Farm & Fleece Alpaca Ranch,28025,4401 Miami Church Rd Concord NC 28025,(619) 852-2862,farm,Petting farm,35.35827097,-80.50311955,"<B>Farm & Fleece Alpaca Ranch</B><br><B>Address: </B>4401 Miami Church Rd Concord NC 28025<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""www.farmandfleece.com"" target=""_blank"">Website</a><br>",Not Accessible,https://farmandfleece.com
64,Gillis Hill Farm,28306,2701 Gillis Hill Rd Fayetteville NC 28306,(910) 867-2350,farm,Petting farm,35.01864636,-79.05392216,"<B>Gillis Hill Farm</B><br><B>Address: </B>2701 Gillis Hill Rd Fayetteville NC 28306<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""www.gillishillfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.gillishillfarm.com
66,Grayce Wynds Farm,28462,2450 Grayce Wynds St SW Supply NC 28462,(910) 000-1111,farm,Petting farm,33.928663,-78.303248,"<B>Grayce Wynds Farm</B><br><B>Address: </B>2450 Grayce Wynds St SW Supply NC 28462<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""www.graycewyndsfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.graycewyndsfarm.com
67,Greenlands Farm Store,28422,668 Midway Rd SE Bolivia NC 28422,(910) 253-7934,farm,Petting farm,34.03652755,-78.15519081,"<B>Greenlands Farm Store</B><br><B>Address: </B>668 Midway Rd SE Bolivia NC 28422<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""www.greenlandsfarm.org"" target=""_blank"">Website</a><br>",Not Accessible,http://greenlandsfarm.org
68,Huckleberry Trail Farm,27344,143 Pleasant Hill Church Rd Siler City NC 27344,(919) 432-4825,farm,Pumpkin patch,35.73358966,-79.33989732,"<B>Huckleberry Trail Farm</B><br><B>Address: </B>143 Pleasant Hill Church Rd Siler City NC 27344<br><B>Type: </B>farm<br><B>Details: </B>Pumpkin patch<br><a href=""www.huckleberrytrailfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,http://huckleberrytrailfarm.com
70,Raynay Alpaca Farm,27326,1897 Ashland Rd Ruffin NC 27326,(336) 939-9400,farm,Petting farm,36.36229482,-79.50413486,"<B>Raynay Alpaca Farm</B><br><B>Address: </B>1897 Ashland Rd Ruffin NC 27326<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""www.raynayalpacas.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.raynayalpacas.com
71,Robinson Produce Farms,28472,607 N Jk Powell Blvd Whiteville NC 28472,(910) 640-1288,farm,Pumpkin patch,34.33714051,-78.70842988,"<B>Robinson Produce Farms</B><br><B>Address: </B>607 N Jk Powell Blvd Whiteville NC 28472<br><B>Type: </B>farm<br><B>Details: </B>Pumpkin patch<br><a href=""www.robinsonproducefarms.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.robinsonproducefarms.com
72,Spring Meadow Farm,27577,2080 Wilsons Mills Rd Smithfield NC 27577,(919) 989-8878,farm,Petting farm,35.54783863,-78.34445007,"<B>Spring Meadow Farm</B><br><B>Address: </B>2080 Wilsons Mills Rd Smithfield NC 27577<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""www.springmeadowfarms.com"" target=""_blank"">Website</a><br>",Not Accessible,https://springmeadowfarms.com
73,Sweet Valley Ranch,28312,2990 Sunnyside School Rd Fayetteville NC 28312,(910) 797-2032,farm,Petting farm,35.02476392,-78.81831163,"<B>Sweet Valley Ranch</B><br><B>Address: </B>2990 Sunnyside School Rd Fayetteville NC 28312<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""www.sweetvalleyranchnc.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.sweetvalleyranchnc.com
74,Winterpast Farm,27587,12936 Ghoston Rd Wake Forest NC 27587,(919) 000-1111,farm,Petting farm,35.99630326,-78.6704421,"<B>Winterpast Farm</B><br><B>Address: </B>12936 Ghoston Rd Wake Forest NC 27587<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""www.winterpast.org"" target=""_blank"">Website</a><br>",Not Accessible,https://winterpastflowers.com
76,Buckwheat Farm,27502,2700 Holland Rd Apex NC 27502,(919) 303-0339,farm,You pick your own,35.71279503,-78.89635537,"<B>Buckwheat Farm</B><br><B>Address: </B>2700 Holland Rd Apex NC 27502<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.buckwheatfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.buckwheatfarm.com
77,Carter Blueberry Farm,28312,4140 Clinton Rd Fayetteville NC 28312,(910) 483-1670,farm,You pick your own,35.03605813,-78.78097551,"<B>Carter Blueberry Farm</B><br><B>Address: </B>4140 Clinton Rd Fayetteville NC 28312<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.carterblueberries.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.carterblueberries.com
78,Cody Farm,28137,41025 Pauls Crossing Rd Richfield NC 28137,(704) 463-5106,farm,You pick your own,35.43988659,-80.3034022,"<B>Cody Farm</B><br><B>Address: </B>41025 Pauls Crossing Rd Richfield NC 28137<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.codystrawberryfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,http://www.codystrawberryfarm.com
79,Eno River Farm,27278,2127 St Marys Rd Hillsborough NC 27278,(910) 622-3226,farm,You pick your own,36.12302551,-78.946364,"<B>Eno River Farm</B><br><B>Address: </B>2127 St Marys Rd Hillsborough NC 27278<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.enoriverfarms.com"" target=""_blank"">Website</a><br>",Not Accessible,https://enoriverfarms.com
80,J W Mitchell Farms,28734,395 Bradley Creek Rd Franklin NC 28734,(828) 349-2725,farm,You pick your own,35.27926138,-83.4368143,"<B>J W Mitchell Farms</B><br><B>Address: </B>395 Bradley Creek Rd Franklin NC 28734<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.jwmitchellfarms.com"" target=""_blank"">Website</a><br>",Not Accessible,http://jwmitchellfarms.com
81,Jeter Mountain Farm,28739,1126 Jeter Mountain Rd Hendersonville NC 28739,(828) 513-0404,farm,You pick your own,35.25285567,-82.55628454,"<B>Jeter Mountain Farm</B><br><B>Address: </B>1126 Jeter Mountain Rd Hendersonville NC 28739<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.jetermountainfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.jetermountainfarm.com
82,Jubilee Family Farm,27712,2135 Winkler Rd Durham NC 27712,(919) 382-2920,farm,You pick your own,36.09550453,-78.94972423,"<B>Jubilee Family Farm</B><br><B>Address: </B>2135 Winkler Rd Durham NC 27712<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.jubileefamilyfarmdurham.com"" target=""_blank"">Website</a><br>",Not Accessible,http://www.jubileefamilyfarmdurham.com
83,Mabe's Berry Farm,27052,1695 Greenfield Rd Walnut Cove NC 27052,(336) 591-4785,farm,You pick your own,36.2998036,-80.2051782,"<B>Mabe's Berry Farm</B><br><B>Address: </B>1695 Greenfield Rd Walnut Cove NC 27052<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.mabesberryfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://mabesberryfarm.com
85,Page Farms,27617,6100 Mount Herman Rd Raleigh NC 27617,(918) 451-5534,farm,You pick your own,35.9089171,-78.7693584,"<B>Page Farms</B><br><B>Address: </B>6100 Mount Herman Rd Raleigh NC 27617<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.pagefarmsraleigh.com"" target=""_blank"">Website</a><br>",Not Accessible,https://pagefarmsraleigh.com
86,Patterson Farm,28125,10390 Caldwell Rd Mt Ulla NC 28125,(704) 857-5242,farm,You pick your own,35.631129,-80.67042136,"<B>Patterson Farm</B><br><B>Address: </B>10390 Caldwell Rd Mt Ulla NC 28125<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.visitpattersonfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.visitpattersonfarm.com
87,Porter Farms,28504,2325 Hwy 258 N Kinston NC 28504,(252) 522-3276,farm,You pick your own,35.29852298,-77.64632266,"<B>Porter Farms</B><br><B>Address: </B>2325 Hwy 258 N Kinston NC 28504<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.porterfarmskinston.com"" target=""_blank"">Website</a><br>",Not Accessible,http://porterfarmskinston.com/produce.html
88,Porter Farms & Nursery,27592,3525 Nc 42 Hwy Willow Spring NC 27592,(919) 567-0504,farm,You pick your own,35.58391548,-78.67077924,"<B>Porter Farms & Nursery</B><br><B>Address: </B>3525 Nc 42 Hwy Willow Spring NC 27592<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.porterfarmsandnursery.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.porterfarmsandnursery.com
89,Sandycreek Farm,27295,3160 S Nc Highway 150 Lexington NC 27295,(336) 853-8834,farm,You pick your own,35.81896647,-80.35901097,"<B>Sandycreek Farm</B><br><B>Address: </B>3160 S Nc Highway 150 Lexington NC 27295<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.sandycreekfarm150.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.sandycreekfarm150.com
90,Southside Strawberry Farm,27817,320 Harding Ln Chocowinity NC 27817,(252) 946-2487,farm,You pick your own,35.46218941,-77.10123917,"<B>Southside Strawberry Farm</B><br><B>Address: </B>320 Harding Ln Chocowinity NC 27817<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.southsidefarms.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.southsidefarms.com
92,Vollmer Farm,27508,677 Nc 98 Hwy E Bunn NC 27508,(919) 496-3076,farm,You pick your own,35.944379,-78.223313,"<B>Vollmer Farm</B><br><B>Address: </B>677 Nc 98 Hwy E Bunn NC 27508<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.vollmerfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,http://www.vollmerfarm.com
