name,zip,Phone,website,address,type,type2,latitude,longitude
Grayce Wynds Farm ,28462,(910) 000-1111,www.graycewyndsfarm.com,2450 Grayce Wynds St SW Supply NC 28462,farm,Petting farm,33.928663,-78.303248
Greenlands Farm Store,28422,(910) 253-7934,www.greenlandsfarm.org,668 Midway Rd SE Bolivia NC 28422,farm,Petting farm,34.03652755,-78.15519081
Happy's Farm,28146,(704) 279-5268,www.happysfarm.org,985 Parks Rd Salisbury NC 28146,farm,,35.56304215,-80.49505908
Happy's Farm,28146,(704) 279-5268,www.happysfarm.org,985 Parks Rd Salisbury NC 28146,farm,,35.56304215,-80.49505908
Hidden River Farm ,27501,(919) 000-1111,www.hiddenriverfarmnc.com,703 Kirk Adams Rd Angier NC 27501,farm,,35.47904524,-78.67668983
Hill Ridge Farms,27596,(919) 556-1771,https://www.hillridgefarms.com,703 Tarboro Rd Youngsville NC 27596,farm,,36.01633113,-78.44282005
Hope Farms & Learning Ctr,27834,(252) 000-1111,www.hopefarmslc.com,872 Briley Rd Greenville NC 27834,farm,,35.67789269,-77.38218167
Horne Creek Farm,27043,(336) 325-2298,https://historicsites.nc.gov/all-sites/horne-creek-farm,308 Horne Creek Farm Rd Pinnacle NC 27043,farm,,36.26929109,-80.48440898
Horseplay Farms ,28422,(910) 253-7722,www.horseplayfarms.net,1757 Clemmons Rd SE Bolivia NC 28422,farm,,33.99745231,-78.19535388
Howard Family Farm,28634,(704) 539-4994,www.howardfamilyfarms.com,250 Crater Rd Harmony NC 28634,farm,,36.0078242,-80.82019255
Huckleberry Trail Farm,27344,(919) 432-4825,www.huckleberrytrailfarm.com,143 Pleasant Hill Church Rd Siler City NC 27344,farm,Pumpkin patch,35.73358966,-79.33989732
Hunter Farm,28104,(704) 846-7975,www.thehunterfarm.com,13624 Providence Rd Weddington NC 28104,farm,,35.02598122,-80.76313704
J Razz & Tazz Farm,27249,(336) 697-2473,https://www.jrazz.com,466 Peeden Dr Gibsonville NC 27249,farm,,36.10021226,-79.61319522
J W Mitchell Farms,28734,(828) 349-2725,www.jwmitchellfarms.com,395 Bradley Creek Rd Franklin NC 28734,farm,You pick your own,35.27926138,-83.4368143
Jeter Mountain Farm,28739,(828) 513-0404,www.jetermountainfarm.com,1126 Jeter Mountain Rd Hendersonville NC 28739,farm,You pick your own,35.25285567,-82.55628454
Jubilee Family Farm ,27712,(919) 382-2920,www.jubileefamilyfarmdurham.com,2135 Winkler Rd Durham NC 27712,farm,You pick your own,36.09550453,-78.94972423
Lavender Oaks Farm ,27516,(919) 000-1111,www.lavenderoaks.farm,3829 Millard Whitley Rd Chapel Hill NC 27516,farm,,35.888698,-79.149397
Mabe's Berry Farm,27052,(336) 591-4785,www.mabesberryfarm.com,1695 Greenfield Rd Walnut Cove NC 27052,farm,You pick your own,36.2998036,-80.2051782
Maier Farm,28168,(828) 310-7344,www.maierfarm.com,8801 Mull Rd Vale NC 28168,farm,,35.58415377,-81.48265088
Maze Craze,28442,(910) 520-8940,www.ncmazecraze.com,370 Artesia Rd Hallsboro NC 28442,farm,Cornmaze,34.3276601,-78.57717664
Old Orchard Creek Farm,28643,(336) 384-1599,https://www.oldorchardcreek.com,410 Swansie Shepherd Rd Lansing NC 28643,farm,You pick your own,36.51085057,-81.56954098
Page Farms,27617,(918) 451-5534,www.pagefarmsraleigh.com,6100 Mount Herman Rd Raleigh NC 27617,farm,You pick your own,35.9089171,-78.7693584
Pasture At Mercer Farm,28431,(910) 000-1111,www.thepastureatmercer.com,995 Elroy Mercer Rd Chadbourn NC 28431,farm,,34.24944919,-78.83353846
Patterson Farm,28125,(704) 857-5242,www.visitpattersonfarm.com,10390 Caldwell Rd Mt Ulla NC 28125,farm,You pick your own,35.631129,-80.67042136
Phillips Farms,27519,(919) 467-3004,www.phillipsfarmsofcary.com,6701 Good Hope Church Rd Cary NC 27519,farm,,35.82605936,-78.87093683
Planet Peace Farm,,(919) 995-1743,https://www.planetpeaceful.org,"6121 Forestville Road Raleigh, NC 27604",farm,,35.8225552,-78.5017071
Porter Farms,28504,(252) 522-3276,www.porterfarmskinston.com,2325 Hwy 258 N Kinston NC 28504,farm,You pick your own,35.29852298,-77.64632266
Porter Farms & Nursery,27592,(919) 567-0504,www.porterfarmsandnursery.com,3525 Nc 42 Hwy Willow Spring NC 27592,farm,You pick your own,35.58391548,-78.67077924
Raynay Alpaca Farm,27326,(336) 939-9400,www.raynayalpacas.com,1897 Ashland Rd Ruffin NC 27326,farm,Petting farm,36.36229482,-79.50413486
Rise Up Community Farm,28412,(910) 000-1111,www.riseupcommunityfarm.org,4702 College Rd S Wilmington NC 28412,farm,,34.15605986,-77.89214975
Robinson Produce Farms,28472,(910) 640-1288,www.robinsonproducefarms.com,607 N Jk Powell Blvd Whiteville NC 28472,farm,Pumpkin patch,34.33714051,-78.70842988
Rudd Farm,27405,(336) 621-1264,www.ruddfarm.com,4021 Hicone Rd Greensboro NC 27405,farm,,36.15130959,-79.73423356
Sandycreek Farm,27295,(336) 853-8834,www.sandycreekfarm150.com,3160 S Nc Highway 150 Lexington NC 27295,farm,You pick your own,35.81896647,-80.35901097
Shelton Farms,28789,(828) 497-5323,www.sheltonfarms.info,500 Thomas Cove Rd Whittier NC 28789,farm,,35.41656349,-83.35631575
Shingleton Farms  Shop,27883,(252) 238-2155,www.shingletonfarms.com,7009 Nc Highway 58 S Stantonsburg NC 27883,farm,,35.614631,-77.820592
SonRidge Farm,,704-734-0809,https://www.sonridgefarm.com,"246 Wright Rd, Kings Mountain, NC 28086",farm,,35.267241,-81.403836
Southside Strawberry Farm,27817,(252) 946-2487,www.southsidefarms.com,320 Harding Ln Chocowinity NC 27817,farm,You pick your own,35.46218941,-77.10123917
Spring Lake Family Farms,28001,(704) 986-0426,www.springlakefamilyfarms.com,33463 Old Salisbury Rd Albemarle NC 28001,farm,,35.3924548,-80.22261691
Spring Meadow Farm,27577,(919) 989-8878,www.springmeadowfarms.com,2080 Wilsons Mills Rd Smithfield NC 27577,farm,Petting farm,35.54783863,-78.34445007
Stoney Mountain Farm ,27217,(336) 421-8244,www.stoneymountainfarm.com,6559 Old Stoney Mountain Rd Burlington NC 27217,farm,,36.24399141,-79.40265976
Street Fare Farm ,28025,(704) 000-1111,www.streetfarefarm.com,6601 US Highway 601 S Concord NC 28025,farm,,35.32533604,-80.51523588
Summerberry Farm,28025,(704) 721-0670,https://www.pickyourown.org/NCcharlotte-Summerberry-blackberries.php,3430 Rimer Rd Concord NC 28025,farm,You pick your own,35.46537502,-80.4856725
Summerfield Farms,27358,(336) 643-2006,www.summerfieldfarms.com,3203 Pleasant Ridge Rd Summerfield NC 27358,farm,,36.19183274,-79.90442829
Sweet Berry Farms,28447,(910) 669-2463,www.sweetberryfarms.net,1824 Moores Swamp Rd Ivanhoe NC 28447,farm,,34.55325448,-78.29809189
Sweet Valley Ranch,28312,(910) 797-2032,www.sweetvalleyranchnc.com,2990 Sunnyside School Rd Fayetteville NC 28312,farm,Petting farm,35.02476392,-78.81831163
Sweet Valley Ranch,,(844) 622-3276,https://www.sweetvalleyranchnc.com/contact-us,"2990 Sunnyside School Road Fayetteville, NC 28312",farm,,35.024683,-78.8137405
The Pint Sized Pasture,,(919) 498-4466,https://www.thepintsizedpasture.com,"_1525 Fire Tower Rd, Sanford, NC 27330",farm,,35.4464832,-79.1878277
Trail of Faith Farms Co,28585,(252) 000-1111,www.trailoffaithfarms.com,190 Heritage Trl Trenton NC 28585,farm,,35.06659,-77.501968
Transplanting Traditions Cmnty,27516,(984) 234-0144,www.transplantingtraditions.org,2912B Jones Ferry Rd Chapel Hill NC 27516,farm,,35.88032476,-79.13668268
Tucker Farms ,27834,(252) 753-2016,www.tuckertaters.com,2539 Seven Pines Rd Greenville NC 27834,farm,Cornmaze,35.6495983,-77.55323606
Upton Family Farm,,(704) 600-5023,https://uptonfamilyfarm.com,"8216 S Hebron Church Rd, Vale, NC 28168",farm,,35.525777,-81.498933
Vollmer Farm,27508,(919) 496-3076,www.vollmerfarm.com,677 Nc 98 Hwy E Bunn NC 27508,farm,You pick your own,35.944379,-78.223313
Wellspring Farm,28714,(828) 682-0458,www.wellspringfarm.com,166 Wellspring Ln Burnsville NC 28714,farm,,35.98737834,-82.43546884
White's Farm,28586,(252) 244-2106,www.whitesfarmvanceboro.com,5200 US Highway 17 N Vanceboro NC 28586,farm,You pick your own,35.24182396,-77.0801522
Winterpast Farm,27587,(919) 000-1111,www.winterpast.org,12936 Ghoston Rd Wake Forest NC 27587,farm,Petting farm,35.99630326,-78.6704421
Winterpast Farm,,(919) 244-1800,http://winterpast.org,"12936 Ghoston Rd, Wake Forest, NC 27587",farm,,35.9966145,-78.6697628
Wood Farms of NC ,27592,(919) 639-2926,www.woodangus.com,721 Honeycutt Rd Willow Spring NC 27592,farm,,35.53880885,-78.61446275
York Farm,27030,(336) 782-6725,www.yorkfarmnc.com,5722 W Pine St Mt Airy NC 27030,farm,,36.47426199,-80.7792666
Zane's Clodbuster Farms,27284,(336) 409-0796,www.zanesclodbusterfarms.com,5500 Leonard Farm Rd Kernersville NC 27284,farm,Cornmaze,36.03769677,-80.12196647
